
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-02 15:13:30 /api/login .............................................................................. ~ 11s
  2026-06-02 15:13:42 /api/login ............................................................................... ~ 5s
  2026-06-02 15:13:47 /api/company-info .................................................................... ~ 8.67ms
  2026-06-02 15:13:47 /api/company-info ........................................................................ ~ 1s
  2026-06-02 15:13:48 /api/crm-settings .................................................................. ~ 508.14ms
  2026-06-02 15:13:48 /api/inventory/new-counts ............................................................ ~ 8.60ms
  2026-06-02 15:13:48 /api/crm-settings .................................................................. ~ 515.44ms
  2026-06-02 15:13:48 /api/inventory/new-counts ................................................................ ~ 1s
  2026-06-02 15:13:50 /api/rotation-settings ............................................................. ~ 500.91ms
  2026-06-02 15:13:50 /api/rotation-settings ............................................................. ~ 501.08ms
  2026-06-02 15:13:50 /api/leads/delayed ................................................................... ~ 0.53ms
  2026-06-02 15:13:50 /api/dashboard/top-users ........................................................... ~ 507.85ms
  2026-06-02 15:13:51 /api/dashboard-data/last-comments .................................................. ~ 506.90ms
  2026-06-02 15:13:51 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.06ms
  2026-06-02 15:13:51 /api/campaigns/dashboard-stats ..................................................... ~ 505.25ms
  2026-06-02 15:13:51 /api/leads/pipeline-analysis ....................................................... ~ 505.55ms
  2026-06-02 15:13:52 /api/stages ........................................................................ ~ 505.97ms
  2026-06-02 15:13:52 /api/user .......................................................................... ~ 507.14ms
  2026-06-02 15:13:52 /api/dashboard-data/active-users ................................................... ~ 507.73ms
  2026-06-02 15:13:52 /api/users ......................................................................... ~ 504.69ms
  2026-06-02 15:13:53 /api/users ......................................................................... ~ 506.74ms
  2026-06-02 15:13:53 /api/stages ........................................................................ ~ 508.27ms
  2026-06-02 15:13:53 /api/leads/stats ................................................................... ~ 508.41ms
  2026-06-02 15:13:53 /api/leads/analysis ................................................................ ~ 507.20ms
  2026-06-02 15:13:54 /api/notifications ................................................................. ~ 507.05ms
  2026-06-02 15:13:54 /api/leads/delayed ................................................................. ~ 507.72ms
  2026-06-02 15:13:54 /api/dashboard/top-users ........................................................... ~ 506.93ms
  2026-06-02 15:13:54 /api/dashboard-data/last-comments .................................................. ~ 507.09ms
  2026-06-02 15:13:55 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.31ms
  2026-06-02 15:13:55 /api/campaigns/dashboard-stats ..................................................... ~ 504.88ms
