
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-07 13:56:36 / ........................................................................................ ~ 3s
  2026-06-07 13:57:03 / .................................................................................... ~ 7.45ms
  2026-06-07 14:09:20 /api/login .............................................................................. ~ 15s
  2026-06-07 14:09:36 /api/login ............................................................................... ~ 3s
  2026-06-07 14:10:10 /api/login ......................................................................... ~ 506.01ms
  2026-06-07 14:10:27 / ........................................................................................ ~ 1s
  2026-06-07 14:10:46 /api/login ............................................................................... ~ 1s
  2026-06-07 14:11:30 /api/login ............................................................................... ~ 1s
  2026-06-07 14:21:02 /api/crm/login-redirect .................................................................. ~ 2s
  2026-06-07 14:21:04 /api/crm/login-redirect ............................................................ ~ 501.55ms
  2026-06-07 14:21:15 /api/login ........................................................................... ~ 1.12ms
  2026-06-07 14:21:15 /api/login ......................................................................... ~ 501.09ms
  2026-06-07 14:21:34 /api/login ......................................................................... ~ 501.71ms
  2026-06-07 14:21:55 /api/login ......................................................................... ~ 501.54ms
  2026-06-07 14:25:01 /api/login ......................................................................... ~ 505.20ms
  2026-06-07 14:38:45 /api/crm/login-redirect .................................................................. ~ 1s
  2026-06-07 14:38:48 /api/leads/delayed ................................................................. ~ 501.77ms
  2026-06-07 14:38:49 /api/dashboard/top-users ........................................................... ~ 500.86ms
  2026-06-07 14:38:49 /api/dashboard-data/last-comments .................................................. ~ 506.14ms
  2026-06-07 14:38:49 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.56ms
  2026-06-07 14:38:49 /api/campaigns/dashboard-stats ..................................................... ~ 506.06ms
  2026-06-07 14:38:49 /api/leads/pipeline-analysis ....................................................... ~ 506.30ms
  2026-06-07 14:38:50 /api/stages ........................................................................ ~ 506.63ms
  2026-06-07 14:38:50 /api/user .......................................................................... ~ 507.92ms
  2026-06-07 14:38:50 /api/dashboard-data/active-users ................................................... ~ 508.44ms
  2026-06-07 14:38:50 /api/users ......................................................................... ~ 505.72ms
  2026-06-07 14:38:51 /api/users ......................................................................... ~ 507.10ms
  2026-06-07 14:38:51 /api/stages ........................................................................ ~ 506.61ms
  2026-06-07 14:38:51 /api/leads/stats ......................................................................... ~ 1s
  2026-06-07 14:38:52 /api/leads/analysis ................................................................ ~ 507.69ms
  2026-06-07 14:38:52 /api/leads/delayed ................................................................. ~ 507.55ms
  2026-06-07 14:38:52 /api/dashboard/top-users ........................................................... ~ 507.37ms
  2026-06-07 14:38:52 /api/dashboard-data/last-comments .................................................. ~ 506.93ms
  2026-06-07 14:38:53 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.96ms
  2026-06-07 14:38:53 /api/campaigns/dashboard-stats ..................................................... ~ 506.47ms
  2026-06-07 14:38:53 /api/leads/pipeline-analysis ....................................................... ~ 506.40ms
  2026-06-07 14:38:53 /api/stages ........................................................................ ~ 506.64ms
  2026-06-07 14:38:54 /api/user .......................................................................... ~ 508.29ms
  2026-06-07 14:38:54 /api/dashboard-data/active-users ................................................... ~ 508.04ms
  2026-06-07 14:38:54 /api/users ......................................................................... ~ 506.03ms
  2026-06-07 14:38:55 /api/users ......................................................................... ~ 508.07ms
  2026-06-07 14:38:55 /api/stages ........................................................................ ~ 507.63ms
  2026-06-07 14:38:55 /api/leads/stats ................................................................... ~ 507.79ms
  2026-06-07 14:38:55 /api/leads/analysis ................................................................ ~ 507.43ms
  2026-06-07 14:38:56 /api/dashboard-data/last-comments .................................................. ~ 507.17ms
  2026-06-07 14:38:56 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-07 14:38:56 /api/company-info .................................................................. ~ 506.13ms
  2026-06-07 14:38:56 /api/company-info .................................................................. ~ 505.56ms
  2026-06-07 14:38:57 /api/company-info ........................................................................ ~ 1s
  2026-06-07 14:38:58 /api/company-info .................................................................. ~ 501.39ms
  2026-06-07 14:38:58 /api/crm-settings .................................................................. ~ 500.75ms
  2026-06-07 14:38:58 /api/inventory/new-counts .......................................................... ~ 507.06ms
  2026-06-07 14:38:58 /api/crm-settings .................................................................. ~ 506.93ms
  2026-06-07 14:38:59 /api/inventory/new-counts .......................................................... ~ 507.42ms
  2026-06-07 14:38:59 /api/crm-settings .................................................................. ~ 505.56ms
  2026-06-07 14:38:59 /api/inventory/new-counts ................................................................ ~ 1s
  2026-06-07 14:39:00 /api/crm-settings .................................................................. ~ 507.38ms
  2026-06-07 14:39:00 /api/rotation-settings ............................................................. ~ 506.84ms
  2026-06-07 14:39:00 /api/inventory/new-counts ................................................................ ~ 1s
